id,county,name,type,location,name_of_good,price_of_good,notes,pre_post,date,time,temp,weather,duration,no_cases,case_rate,neg_rate,pct_fatality,geo_id
store_30,wood,walmart,grocery,rural,chp_chkn,3.37,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,exp_chkn,5.34,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,potatoes,0.88,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,onions,68,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,apples,1.27,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,oranges,0.63,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,milk,1.69,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,chp_bttr,2.94,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,exp_bttr,5.98,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,yogurt,1.74,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,chp_eggs,1.28,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,exp_eggs,5.74,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_30,wood,walmart,grocery,rural,soda,0.33,,post,5.29.20,,64,cloudy,24,11,15,3149,9,55141011400
store_29,adams,county_mkt,grocery,rural,chp_chkn,4.69,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,exp_chkn,4.99,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,potatoes,1,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,onions,1.29,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,apples,1.59,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,oranges,0.89,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,milk,3.39,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,chp_bttr,3.19,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,exp_bttr,7.99,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,yogurt,2.49,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,chp_eggs,0.95,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
store_29,adams,county_mkt,grocery,rural,exp_eggs,4.45,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,55001950400
