id,county,name,type,location,name_of_good,price_of_good,notes,pre_post,date,time,temp,weather,duration,no_cases,case_rate,neg_rate,geo_id,pop_total,hours
store_12,monroe,caseys,liquor,rural,exp_scotch,64.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,franzia,15.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,barefoot,6.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,miller_lite,10.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,spotted_cow,8.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,lagunitas,,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_23,waushara,pns,grocery,rural,chp_chkn,1.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,exp_chkn,7.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,potatoes,0.69,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,onions,0.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,apples,1.29,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,oranges,0.69,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,milk,2.59,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,chp_bttr,3.29,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,exp_bttr,6.69,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,yogurt,2.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,chp_eggs,1.49,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,exp_eggs,3.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,soda,0.44,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_14,polk,dicks_mkt,grocery,rural,chp_chkn,1.23,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,exp_chkn,7.8,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,potatoes,0.99,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,onions,2.69,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,apples,1.99,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
