"","id","county","name","type","location","gloves","mask","homeade","gender","age","uncover_nose","touch_face","remove_mask","broke_6ft","date","avg_zscore_price_index","median_zscore_price_index","pop_total","age_two_bins","case_rate","no_cases"
"34","store_1","dane","pns","grocery","urban",0,1,0,1,"e",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"30+",9.493410403,519
"35","store_1","dane","pns","grocery","urban",0,0,0,1,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"36","store_1","dane","pns","grocery","urban",0,1,0,0,"y",0,0,1,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"37","store_1","dane","pns","grocery","urban",0,1,0,1,"a",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"30+",9.493410403,519
"38","store_1","dane","pns","grocery","urban",0,1,1,1,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"39","store_1","dane","pns","grocery","urban",0,1,1,0,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"40","store_1","dane","pns","grocery","urban",0,0,0,0,"a",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"30+",9.493410403,519
"41","store_1","dane","pns","grocery","urban",0,0,0,1,"a",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"30+",9.493410403,519
"42","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"43","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"44","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"45","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"46","store_1","dane","pns","grocery","urban",0,0,0,1,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"47","store_1","dane","pns","grocery","urban",0,1,0,0,"a",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"30+",9.493410403,519
"48","store_1","dane","pns","grocery","urban",0,1,1,1,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
"49","store_1","dane","pns","grocery","urban",0,1,0,1,"a",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"30+",9.493410403,519
"50","store_1","dane","pns","grocery","urban",0,1,0,0,"y",0,0,0,0,"5.16.20",0.10117439700063,-0.0446975729572259,546695,"0-29",9.493410403,519
