"","id","county","name","type","location","gloves","mask","homeade","gender","age","uncover_nose","touch_face","remove_mask","broke_6ft","pre_post","date","time","temp","weather","duration","no_cases","case_rate","neg_rate","pct_fatality","X","X.1","X.2","X.3","X.4","avg_zscore_price_index","median_zscore_price_index","pop_density","pop_total","case_rate_june19","case_rate_two_weeks_prior","age_two_bins"
"21","store_1","dane","pns","grocery","urban",0,0,0,0,"a",0,0,0,1,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"22","store_1","dane","pns","grocery","urban",0,0,0,1,"a",0,0,0,1,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"23","store_1","dane","pns","grocery","urban",0,1,0,1,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"24","store_1","dane","pns","grocery","urban",0,1,0,1,"e",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"25","store_1","dane","pns","grocery","urban",0,1,0,0,"e",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"26","store_1","dane","pns","grocery","urban",0,0,0,1,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"27","store_1","dane","pns","grocery","urban",0,0,0,1,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"28","store_1","dane","pns","grocery","urban",0,0,0,0,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"29","store_1","dane","pns","grocery","urban",0,1,0,1,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"30","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"31","store_1","dane","pns","grocery","urban",0,0,0,1,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"32","store_1","dane","pns","grocery","urban",0,1,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"33","store_1","dane","pns","grocery","urban",0,0,0,1,"e",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"34","store_1","dane","pns","grocery","urban",0,1,0,1,"e",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"35","store_1","dane","pns","grocery","urban",0,0,0,1,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"36","store_1","dane","pns","grocery","urban",0,1,0,0,"y",0,0,1,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"37","store_1","dane","pns","grocery","urban",0,1,0,1,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"38","store_1","dane","pns","grocery","urban",0,1,1,1,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"39","store_1","dane","pns","grocery","urban",0,1,1,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"40","store_1","dane","pns","grocery","urban",0,0,0,0,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"41","store_1","dane","pns","grocery","urban",0,0,0,1,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"42","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"43","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"44","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"45","store_1","dane","pns","grocery","urban",0,0,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"46","store_1","dane","pns","grocery","urban",0,0,0,1,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"47","store_1","dane","pns","grocery","urban",0,1,0,0,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"48","store_1","dane","pns","grocery","urban",0,1,1,1,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"49","store_1","dane","pns","grocery","urban",0,1,0,1,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"50","store_1","dane","pns","grocery","urban",0,1,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
"51","store_1","dane","pns","grocery","urban",0,1,0,1,"e",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"52","store_1","dane","pns","grocery","urban",0,0,0,0,"a",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"53","store_1","dane","pns","grocery","urban",0,1,0,1,"e",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"30+"
"54","store_1","dane","pns","grocery","urban",0,1,0,0,"y",0,0,0,0,"pre","5.16.20",1400,68,"sunny",50,538,10.15,3433,5,0,"",0,0,"",0.0883051686289569,-0.0788625388573123,407.7,54.6695,189.1365387,79.20321203,"0-29"
